date,headline,url,categories,summary,vibe,in_top7,source,theme,countries
2026-06-26,UK set to double ILR settlement wait from 5 to 10 years,https://www.jobbatical.com/blog/uk-immigration-policy-2026-updates,Destination Countries,UK set to double the ILR settlement qualifying period from 5 to 10 years.,negative,TRUE,Jobbatical,Visas and Work Permits,United Kingdom
2026-06-26,EU Talent Pool Regulation enters into force — global non-EU jobseekers eligible,https://iuslaboris.com/insights/eu-talent-pool-regulation-new-framework-takes-effect-in-june-2026/,Destination Countries,"EU Talent Pool Regulation enters into force, making global non-EU jobseekers eligible.",positive,TRUE,Ius Laboris,Skills and Talent,European Union
2026-06-26,South Korea expands Top-Tier Visa to academics and researchers from June 1,https://kpmg.com/xx/en/our-insights/gms-flash-alert/2026/flash-alert-2026-080.html,Destination Countries,South Korea expands its Top-Tier Visa to academics and researchers from June 1.,positive,TRUE,KPMG,Skills and Talent,South Korea
2026-06-26,Japan halts new food-service SSW Type 1 intake; foreign residents surge 9.6%,https://jobsinjapan.com/japan-faq/japan-2026-foreign-hiring-visa-changes/,Destination Countries,Japan halts new food-service SSW Type 1 intake as foreign residents surge 9.6%.,negative,TRUE,Jobs in Japan,Visas and Work Permits,Japan
2026-06-26,Canada lets provincial nominees work without AOR confirmation (from June 9),https://www.cicnews.com/2026/06/canada-eases-access-to-work-permits-for-provincial-nominees-0676800.html,Destination Countries,Canada lets provincial nominees work without AOR confirmation from June 9.,positive,TRUE,CIC News,Visas and Work Permits,Canada
2026-06-26,Canada's study-permit exemption for work permit holders expires June 27,https://immigrationnewscanada.ca/canada-immigration-changes-june-2026/,Destination Countries,Canada's study-permit exemption for work permit holders expires June 27.,negative,TRUE,Immigration News Canada,Students and Education,Canada
2026-06-26,Poland restricts labor market access for Schengen-route entrants from June 1,https://www.bal.com/immigration-news/poland-immigration-reforms-in-effect-june-1/,Destination Countries,Poland restricts labor market access for Schengen-route entrants from June 1.,neutral,TRUE,BAL,Visas and Work Permits,Poland
2026-06-28,Gulf migrant workers face deadly summer heat with inadequate protection,https://www.hrw.org/news/2026/06/23/gulf-states-migrant-workers-heat-protections-fall-short,Destination Countries,"Gulf migrant workers face deadly summer heat with inadequate protection, per Human Rights Watch.",negative,TRUE,Human Rights Watch,Labour and Workers,Gulf Region
2026-06-28,EU Parliament votes to fast-track deportations and green-light 'return hubs',https://www.euronews.com/my-europe/2026/06/01/eu-greenlights-controversial-return-hubs-in-strictest-ever-new-migration-law,Destination Countries,EU Parliament votes to fast-track deportations and green-light offshore 'return hubs'.,neutral,TRUE,Euronews,Enforcement and Crisis,European Union
2026-06-28,EU Pact on Migration and Asylum enters full application across all 27 member states,https://home-affairs.ec.europa.eu/news/new-migration-and-asylum-rules-enter-application-what-changing-2026-06-12_en,Destination Countries,EU Pact on Migration and Asylum enters full application across all 27 member states.,neutral,TRUE,European Commission,Enforcement and Crisis,European Union
2026-06-29,July Bulletin: EB-5 India Joins EB-2 as Unavailable for FY2026,https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2026/visa-bulletin-for-july-2026.html,India Specific|Destination Countries,July Bulletin shows EB-5 India joins EB-2 as unavailable for FY2026.,negative,TRUE,US State Department,Visas and Work Permits,United States
2026-06-29,Indian Carriers Gradually Restoring Gulf Flights as Airspace Eases,https://www.khaleejtimes.com/world/asia/indian-airlines-resume-flights-gulf-middle-east,India Specific|Destination Countries,Indian carriers gradually restore Gulf flights as airspace eases.,positive,TRUE,Khaleej Times,Enforcement and Crisis,Gulf Region
2026-06-29,Iran-US ceasefire holds tentatively; US Navy widens Strait of Hormuz corridor,https://www.pbs.org/newshour/world/iran-and-u-s-reach-an-initial-deal-to-extend-the-ceasefire-and-open-the-strait-of-hormuz-but-challenges-remain,Destination Countries,Iran-US ceasefire holds tentatively as the US Navy widens the Strait of Hormuz corridor.,neutral,TRUE,PBS NewsHour,Enforcement and Crisis,Gulf Region|Iran|United States
2026-06-29,"Canada issues 4,000 healthcare Express Entry invitations at CRS 475",https://immigrationnewscanada.ca/latest-express-entry-draw-on-june-25-2026/,Destination Countries,"Canada issues 4,000 healthcare Express Entry invitations at a CRS cutoff of 475.",positive,TRUE,Immigration News Canada,Skills and Talent,Canada
2026-06-29,Ireland expands employment permits: 32 occupation updates across key sectors,https://kpmg.com/xx/en/our-insights/gms-flash-alert/2026/flash-alert-2026-136.html,Destination Countries,Ireland expands employment permits with 32 occupation updates across key sectors.,positive,TRUE,KPMG,Visas and Work Permits,Ireland
2026-06-29,UK Global Talent visa adds Design Industry pathway from July 1,https://www.gov.uk/global-talent,Destination Countries,UK Global Talent visa adds a Design Industry pathway from July 1.,positive,TRUE,GOV.UK,Skills and Talent,United Kingdom
2026-06-29,India uses ILC Geneva to push bilateral mobility and skill-recognition pacts with 8 countries,https://www.business-standard.com/economy/news/india-pushes-labour-mobility-skill-recognition-pacts-at-geneva-conference-126061001091_1.html,India Specific,India uses the ILC Geneva conference to push bilateral mobility and skill-recognition pacts with 8 countries.,positive,TRUE,Business Standard,Bilateral Deals and Trade,India
2026-06-30,"India–New Zealand FTA Signed: 5,000 Annual Skilled Visas + 1,000 WHVs for Indians",https://www.visahq.com/news/2026-04-27/in/india-new-zealand-fta-signed-unlocking-5000-annual-work-visas-for-indian-professionals/,India Specific|Destination Countries,"India-New Zealand FTA creates 5,000 annual skilled visas plus 1,000 Work & Holiday Visa slots for Indians.",positive,TRUE,VisaHQ,Bilateral Deals and Trade,New Zealand
2026-06-30,India–Slovakia MoU on Labour Migration Signed During Modi's Historic Bratislava Visit,https://www.tribuneindia.com/news/world/india-slovakia-sign-mous-on-labour-migration-digital-technology/,India Specific|Destination Countries,India and Slovakia sign an MoU on labour migration during Modi's historic Bratislava visit.,positive,TRUE,Tribune India,Bilateral Deals and Trade,Slovakia
2026-06-30,US F/J Duration of Status Rule Clears OMB — 4-Year Student Visa Cap Near,https://monitor.icef.com/2026/05/us-moves-to-end-duration-of-status-for-f-j-and-i-visas-new-rule-could-limit-the-time-international-students-can-study-in-the-us/,Destination Countries,"US F/J Duration of Status rule clears OMB, nearing a 4-year student visa cap.",negative,TRUE,ICEF Monitor,Students and Education,United States
2026-06-30,US Court Strikes Down H-1B $100k Fee — But Stay Keeps It Active During Appeal,https://www.npr.org/2026/06/09/nx-s1-5851474/federal-judge-fee-h1b-visa,Destination Countries,A US court strikes down the H-1B $100k fee but a stay keeps it active during appeal.,neutral,TRUE,NPR,Visas and Work Permits,United States
2026-06-30,"Australia Opens 185,000 PR Spots for 2026-27; Employer-Sponsored Places Up 32%",https://www.y-axis.com/news/australia-opens-185000-pr-spots-2026-27-skilled-professionals/,Destination Countries,"Australia opens 185,000 PR spots for 2026-27, with employer-sponsored places up 32%.",positive,TRUE,Y-Axis,Visas and Work Permits,Australia
2026-06-30,"US Court Lifts USCIS Benefits Freeze — Green Cards, Work Permits Resume Processing",https://www.americanimmigrationcouncil.org/blog/green-card-news-uscis-memo/,Destination Countries,"A US court lifts the USCIS benefits freeze, resuming green card and work permit processing.",positive,TRUE,American Immigration Council,Visas and Work Permits,United States
2026-06-30,US Senate Passes $70 Billion Enforcement Package for ICE and Border Patrol,https://www.boundless.com/blog/boundless-weekly-immigration-news,Destination Countries,US Senate passes a $70 billion enforcement package for ICE and Border Patrol.,negative,TRUE,Boundless,Enforcement and Crisis,United States
2026-06-30,Australia Employer-Sponsored Visa Salary Thresholds Rise July 1,https://iasservices.org.uk/australia-announces-skilled-visa-salary-increases-and-opens-2026-work-and-holiday-visa-ballots/,Destination Countries,Australia's employer-sponsored visa salary thresholds rise July 1.,neutral,TRUE,IAS Services,Visas and Work Permits,Australia
2026-06-30,EU Single Permit Directive in Force: Equal Rights for Non-EU Workers Across All 27 States,https://eur-lex.europa.eu/EN/legal-content/summary/non-eu-workers-a-single-permit-for-residence-and-work-in-the-eu-2026.html,Destination Countries,"The EU Single Permit Directive enters force, mandating equal rights for non-EU workers across all 27 states.",positive,TRUE,EUR-Lex,Visas and Work Permits,European Union
2026-06-30,South Africa Anti-Migrant June 30 Deadline: Thousands Flee Ahead of Threats,https://www.france24.com/en/africa/20260629-thousands-foreign-nationals-leave-south-africa-ahead-june-30-deadline,Destination Countries,South Africa's anti-migrant June 30 deadline prompts thousands of foreign nationals to flee ahead of threats.,negative,TRUE,France 24,Enforcement and Crisis,South Africa
2026-07-01,Jaishankar: India Has 28 Mobility Agreements; Trusted Pathways Build Economies,https://aninews.in/news/world/asia/india-has-signed-28-migration-mobility-partnerships-trusted-pathways-can-contribute-to-stronger-economies-jaishankar20260701002436/,India Specific,"Jaishankar says India has 28 mobility agreements, with trusted pathways building economies.",positive,TRUE,ANI,Bilateral Deals and Trade,India
2026-07-01,India Hikes Passport Fees by Up to 75% from Today — First Revision in 14 Years,https://newsonair.gov.in/government-raises-passport-application-fees/,India Specific,"India hikes passport fees by up to 75%, the first revision in 14 years.",neutral,TRUE,All India Radio (News on AIR),Other,India
2026-07-01,"UAE: Alhind Takes Over Indian Consular Services Today, Replacing BLS and IVS",https://gulfnews.com/uae/al-hind-to-take-over-indian-passport-and-visa-services-in-uae-from-july-1-1.500580489,India Specific|Destination Countries,"Alhind takes over Indian consular services in the UAE today, replacing BLS and IVS.",neutral,TRUE,Gulf News,Remittances and Diaspora,UAE
2026-07-01,US Launches $750 B-1/B-2 Expedite Visa Fee Pilot from July 1,https://goimmigrationlaw.com/july-2026-visa-bulletin/,Destination Countries,US launches a $750 B-1/B-2 expedite visa fee pilot from July 1.,negative,TRUE,Go Immigration Law,Visas and Work Permits,United States
2026-07-01,South Africa Anti-Migrant Marches Continue July 1 After Deadline Passes Without Mass Violence,https://www.hngn.com/articles/271812/20260630/south-africas-disputed-migrant-deadline-passes-without-major-violence-tens-thousands-flee.htm,Destination Countries,South Africa anti-migrant marches continue July 1 after a deadline passes without mass violence.,neutral,TRUE,HNGN,Enforcement and Crisis,South Africa
2026-07-01,Philippines Upgrades Seafarer Employment Contracts Under Magna Carta Standards,https://www.manilatimes.net/2026/07/01/business/maritime/dmw-updates-seafarer-contracts-for-magna-carta/2375571,Competitor Countries,Philippines upgrades seafarer employment contracts under Magna Carta standards.,positive,TRUE,The Manila Times,Labour and Workers,Philippines
2026-07-02,India Launches e-OCI Card — Digital Identity for 50 Lakh Diaspora Indians,https://www.fragomen.com/insights/india-electronic-overseas-citizen-of-india-card-launch-to-reduce-administrative-hurdles-and-streamline-entry.html,India Specific,"India launches the e-OCI card, a digital identity for 50 lakh diaspora Indians.",positive,TRUE,Fragomen,Remittances and Diaspora,India
2026-07-02,"H-1B Chaos: 7,300 Indian Tech Workers Return Home in First Half of 2026",https://restofworld.org/2026/h1b-visa-impact-india-tech-hiring-faamng/,India Specific|Destination Countries,"7,300 Indian tech workers return home in H1 2026 amid H-1B chaos and the $100,000 fee.",negative,TRUE,Rest of World,Visas and Work Permits,United States
2026-07-02,UK Raises Skilled Worker Skill Bar to Degree Level from July 22,https://www.centuroglobal.com/articles/uk-immigration-2026-changes/,Destination Countries,UK raises the Skilled Worker visa skill bar to degree level from July 22.,negative,TRUE,Centuro Global,Visas and Work Permits,United Kingdom
2026-07-02,"South Korea Unveils 2026 Immigration Strategy: STEM, Technical, and Agriculture Visas Expanded",https://www.bal.com/immigration-news/south-korea-new-immigration-strategy-includes-expanded-eligibility-for-top-tier-visa-new-visas-for-technical-workers/,Destination Countries,"South Korea's 2026 Immigration Strategy expands STEM, technical and agriculture visas.",positive,TRUE,BAL,Skills and Talent,South Korea
2026-07-02,US Supreme Court Allows Trump to Terminate TPS for 1.3 Million Migrants,https://www.americanimmigrationcouncil.org/blog/supreme-court-immigration-ruling-tps-asylum-seekers/,Destination Countries,US Supreme Court allows Trump to terminate TPS for 1.3 million migrants.,negative,TRUE,American Immigration Council,Enforcement and Crisis,United States
2026-07-02,Japan Adds 7 New Manufacturing Categories to Specified Skilled Worker Evaluations,https://japan-visa.com/visas/specified-skills,Destination Countries,Japan adds 7 new manufacturing categories to Specified Skilled Worker evaluations.,neutral,TRUE,Japan-Visa,Visas and Work Permits,Japan
2026-07-02,Canada Expands Quebec Worker Open Work Permit for Skilled Applicants' Families,https://immigrationnewscanada.ca/new-canada-immigration-changes-july-2026/,Destination Countries,Canada expands the Quebec Skilled Worker open work permit to eligible applicants' families.,positive,TRUE,Immigration News Canada,Visas and Work Permits,Canada
2026-07-02,US Bill Proposes 3-Year H-1B Moratorium with $200K Salary Floor,https://americanbazaaronline.com/2026/04/06/proposed-100000-h-1b-fee-could-redirect-indian-tech-talent-abroad-478344/,Destination Countries,"A US bill proposes a 3-year H-1B moratorium with a $200,000 salary floor.",negative,TRUE,American Bazaar,Visas and Work Permits,United States
2026-07-02,Australia's July 1 Package: Subclass 407 Training Visa Also Updated,https://kpmg.com/xx/en/our-insights/gms-flash-alert/2026/flash-alert-2026-069.html,Destination Countries,Australia's July 1 immigration package also updates the Subclass 407 Training Visa.,neutral,TRUE,KPMG,Visas and Work Permits,Australia
2026-07-02,US Net International Migration Falls in 90% of Counties — Census Confirms Structural Decline,https://www.census.gov/library/stories/2026/03/net-international-migration.html,Destination Countries|Demographics & Fertility,"US net international migration falls in 90% of counties, confirming structural decline.",neutral,TRUE,US Census Bureau,Demographics and Workforce,United States
2026-07-03,Japan Exempts India from 400% Visa Fee Hike Effective July 1,https://www.travelandtourworld.com/news/article/r5mnwh09begk/,India Specific|Destination Countries,Japan exempts India from its 400% visa fee hike effective July 1.,positive,TRUE,Travel and Tour World,Visas and Work Permits,Japan
2026-07-03,Saudi Arabia Enforces 30% Saudisation for 46 Engineering Professions,https://www.spa.gov.sa/en/N2624646,Destination Countries,Saudi Arabia enforces a 30% Saudisation quota for 46 engineering professions.,negative,TRUE,Saudi Press Agency,Labour and Workers,Saudi Arabia
2026-07-03,Saudi Arabia Lifts Block Work Visa Quota Hold for India Post-Hajj,https://www.fragomen.com/insights/saudi-arabia-temporary-hold-on-block-work-visa-quotas-for-certain-nationalities.html,India Specific|Destination Countries,Saudi Arabia lifts its block work visa quota hold for India post-Hajj.,positive,TRUE,Fragomen,Visas and Work Permits,Saudi Arabia
2026-07-03,Australia Hikes Student Visa 25% and Temp Graduate 25% from July 1,https://monitor.icef.com/2026/07/surprise-hike-in-international-student-visa-application-fees-a-direct-hit-to-australias-competitiveness/,Destination Countries,Australia hikes Student Visa and Temporary Graduate visa fees 25% each from July 1.,negative,TRUE,ICEF Monitor,Students and Education,Australia
2026-07-03,India's Inaugural HR Mobility Forum Concludes with Five Country Sessions,https://newsonair.gov.in/india-concludes-two-day-human-resource-mobility-forum-in-new-delhi/,India Specific,India's inaugural HR Mobility Forum concludes with five country sessions.,positive,TRUE,All India Radio (News on AIR),Skills and Talent,India
2026-07-03,US Indian Student Enrollment Falls 6.9% as F-1 Visa Barriers Accumulate,https://www.visaverge.com/news/us-sees-69-fall-in-indian-student-numbers-as-visa-rules-tighten/,India Specific|Destination Countries,US Indian student enrollment falls 6.9% as F-1 visa barriers accumulate.,negative,TRUE,VisaVerge,Students and Education,United States
2026-07-03,Kenya–Italy Sign G2G Labour Migration MoU — Africa-Europe Corridor Deepens,https://www.the-star.co.ke/news/2026-07-02-kenya-italy-sign-migration-pact-to-expand-jobs,Destination Countries,"Kenya and Italy sign a government-to-government labour migration MoU, deepening the Africa-Europe corridor.",neutral,TRUE,The Star (Kenya),Bilateral Deals and Trade,Kenya|Italy
2026-07-03,EU Migration and Asylum Pact Now Fully Applicable Across All 27 Member States,https://www.hrw.org/news/2026/06/10/questions-and-answers-the-eu-pact-on-migration-and-asylum,Destination Countries,The EU Migration and Asylum Pact is now fully applicable across all 27 member states.,neutral,TRUE,Human Rights Watch,Enforcement and Crisis,European Union
2026-07-03,Germany: Skilled Immigrants Underused Despite Record Labour Shortages,https://www.newsworm.de/news/skilled-immigrants-underused-despite-germanys-labor-shortages,Destination Countries,Skilled immigrants in Germany remain underused despite record labour shortages.,neutral,TRUE,Newsworm,Skills and Talent,Germany
2026-07-03,"Canada Issues 4,000 Healthcare Express Entry ITAs — Indian Health Workers Well-Positioned",https://moving2canada.com/immigration/express-entry/express-entry-healthcare-draws/,India Specific|Destination Countries,"Canada issues 4,000 healthcare Express Entry ITAs, with Indian health workers well-positioned.",positive,TRUE,Moving2Canada,Skills and Talent,Canada
2026-07-05,New Zealand Plans India-Specific Immigration Tightening; MEA Pushes Back,https://www.business-standard.com/economy/news/india-focuses-on-skilled-mobility-as-nz-tightens-immigration-rules-mea-126070400058_1.html,India Specific|Destination Countries,"New Zealand plans India-specific immigration tightening, prompting pushback from India's MEA.",negative,TRUE,Business Standard,Visas and Work Permits,New Zealand
2026-07-05,"US July 2026 Visa Bulletin: EB-2 India Unavailable, EB-1 India Retrogresses",https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2026/visa-bulletin-for-july-2026.html,India Specific|Destination Countries,US July 2026 Visa Bulletin shows EB-2 India unavailable and EB-1 India retrogressing.,negative,TRUE,US State Department,Visas and Work Permits,United States
2026-07-05,UAE Strips UK Residency as Visa-on-Arrival Qualifier for Indian Passport Holders,https://www.business-standard.com/immigration/uae-changes-visa-rules-for-indians-who-can-still-get-visa-on-arrival-126070100476_1.html,India Specific|Destination Countries,UAE strips UK residency as a visa-on-arrival qualifier for Indian passport holders.,negative,TRUE,Business Standard,Visas and Work Permits,UAE
2026-07-05,"Modi Embarks on 3-Nation Indo-Pacific Tour July 6: Indonesia, Australia, New Zealand",https://www.tribuneindia.com/news/india/pm-modi-on-3-nation-trip-to-indonesia-australia-and-new-zealand-from-july-6/,India Specific|Destination Countries,"Modi embarks on a 3-nation Indo-Pacific tour covering Indonesia, Australia and New Zealand.",positive,TRUE,Tribune India,Bilateral Deals and Trade,Indonesia|Australia|New Zealand
2026-07-05,"Canada Slashes Temporary Resident Intake 43% to 385,000 in 2026; Indians Hit Hardest",https://www.chinapulse.com/data-news/2026/07/02/canada-immigration-changes-in-july-2026-what-it-means-for-indian-students-workers,India Specific|Destination Countries,"Canada slashes temporary resident intake 43% to 385,000 in 2026, hitting Indians hardest.",negative,TRUE,China Pulse,Visas and Work Permits,Canada
2026-07-05,India NRI Remittances Reach $73B in H1 2026; Advanced Economies Now Over Half,https://dailypioneer.com/news/nri-remittances-surge-in-india-whats-driving-the-2026-shift,India Specific,"India's NRI remittances reach $73B in H1 2026, with advanced economies now over half of inflows.",positive,TRUE,The Pioneer,Remittances and Diaspora,India
2026-07-05,Australia Enacts Law Granting New Power to Temporarily Restrict Visa Holder Arrivals,https://www.envoyglobal.com/news-alert/australia-enacts-new-law-allowing-temporary-restrictions-on-certain-visa-holder-arrivals/,Destination Countries,Australia enacts a law granting new power to temporarily restrict visa holder arrivals.,neutral,TRUE,Envoy Global,Visas and Work Permits,Australia
2026-07-10,US Department of Labor Launches First-Ever H-1B Visa Fraud Investigation; Dozens of Subpoenas Issued to Employers of Indian IT Workers,https://www.tribuneindia.com/,India Specific|Destination Countries,"US Department of Labor launches its first-ever H-1B visa fraud investigation, issuing subpoenas to employers of Indian IT workers.",negative,TRUE,Tribune India,Enforcement and Crisis,United States
2026-07-10,USCIS Rule Effective Today (July 10): Expanded Authority to Reject or Deny Immigration Applications Over Signature and Technical Deficiencies,https://www.boundless.com/blog/boundless-weekly-immigration-news,India Specific|Destination Countries,A USCIS rule effective July 10 expands authority to reject or deny immigration applications over signature deficiencies.,negative,TRUE,Boundless,Visas and Work Permits,United States
2026-07-10,"Stricter H-1B Rules Proposed for August: Third-Party Placement Crackdown, Higher Wage Thresholds, New Fees — Indian IT Staffing Model in Crosshairs",https://thefederal.com/category/business/h1-b-student-visa-news-rules-from-august-249556,India Specific|Destination Countries,"Stricter H-1B rules proposed for August target third-party placement, with higher wage thresholds and new fees.",negative,TRUE,The Federal,Visas and Work Permits,United States
2026-07-10,"PM Modi at Third India-Australia Annual Summit with PM Albanese in Melbourne; Trade, Technology and People-to-People Mobility Outcomes Awaited",https://stratnewsglobal.com/general/indonesia-australia-new-zealand-modi-embarks-on-key-3-nations-tour/,India Specific|Destination Countries,"PM Modi attends the Third India-Australia Annual Summit with PM Albanese in Melbourne, with mobility outcomes awaited.",positive,TRUE,StratNews Global,Bilateral Deals and Trade,Australia
2026-07-10,PM Modi Begins Historic Auckland Visit — First Indian PM in New Zealand in 40 Years; Immigration Standoff and FTA Mobility Provisions in Focus,https://www.indianweekender.co.nz/news/pm-modi-to-begin-three-nation-visit-to-indonesia-new-zealand-australia-from-july-6,India Specific|Destination Countries,"PM Modi begins a historic Auckland visit, the first by an Indian PM to New Zealand in 40 years.",positive,TRUE,Indian Weekender,Bilateral Deals and Trade,New Zealand
2026-07-10,"UK Immigration and Asylum Bill 2026 Introduced: New Appeals Authority, Single 'Protection Status' Replacing Refugee/HP Categories, Modern Slavery Reforms; Second Reading 13 July",https://bills.parliament.uk/bills/4254,Destination Countries,"The UK Immigration and Asylum Bill 2026 is introduced, creating a new Appeals Authority and single 'Protection Status'.",neutral,TRUE,UK Parliament,Enforcement and Crisis,United Kingdom
2026-07-10,UK Opens Second and Final 2026 Youth Mobility Scheme Ballot for Hong Kong SAR and Taiwan Youth (14–16 July); 200 Places Remaining,https://www.fragomen.com/insights/united-kingdom-hong-kong-sar-chinese-and-taiwan-youth-mobility-scheme-second-ballot-to-open-july-14-2026.html,Destination Countries,UK opens its second and final 2026 Youth Mobility Scheme ballot for Hong Kong SAR and Taiwan youth.,neutral,TRUE,Fragomen,Visas and Work Permits,United Kingdom
2026-07-11,"India-Australia Summit Concludes with 18 Outcomes: Mining Skills Centre of Excellence in Bhubaneswar (MoU with TAFE Western Australia), MATES Pathway, University Campuses in India, Nuclear Cooperation Operationalised",https://ibgnews.com/,India Specific|Destination Countries,The India-Australia Summit concludes with 18 outcomes including a Mining Skills Centre of Excellence and the MATES Pathway.,positive,TRUE,IBG News,Bilateral Deals and Trade,Australia
2026-07-11,"India-New Zealand Ties Elevated to Strategic Partnership; FTA's 5,000 Temporary Employment Entry Visas for Indians Confirmed; NZ Skilled Migrant Category Changes for August Announced",https://www.business-standard.com/,India Specific|Destination Countries,"India-New Zealand ties are elevated to a Strategic Partnership, confirming 5,000 temporary employment entry visas for Indians.",positive,TRUE,Business Standard,Bilateral Deals and Trade,New Zealand
2026-07-11,"July 2026 US Visa Bulletin: EB-2 India Unavailable for Remainder of FY2026, EB-1 India Retrogresses Two Months, EB-5 Unreserved India Also Cut Off",https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2026/visa-bulletin-for-july-2026.html,India Specific|Destination Countries,"July 2026 US Visa Bulletin shows EB-2 India unavailable for the rest of FY2026, with EB-1 and EB-5 also cut off.",negative,TRUE,US State Department,Visas and Work Permits,United States
2026-07-11,"UK Statement of Changes to Immigration Rules HC 259 (9 July 2026): Graduate Route, Family Migration and Deportation Framework Updated; Takes Effect 30 July & 3 August",https://www.gov.uk/government/publications/statement-of-changes-to-the-immigration-rules-hc-259-9-july-2026,Destination Countries,"UK's Statement of Changes to Immigration Rules HC 259 updates the Graduate Route, family migration and deportation framework.",neutral,TRUE,GOV.UK,Visas and Work Permits,United Kingdom
2026-07-11,New Zealand Announces Further Skilled Migrant Category Changes Effective 24 August 2026: New Skilled Work Experience Pathway and Trades & Technician Route; Reduced NZ Experience Requirement,https://www.immigration.govt.nz/about-us/news-centre/further-changes-to-the-skilled-migrant-category-to-come-into-effect-in-august-2026/,Destination Countries,"New Zealand announces further Skilled Migrant Category changes effective 24 August 2026, adding new pathways.",positive,TRUE,Immigration New Zealand,Skills and Talent,New Zealand
2026-07-11,India Focused on Skilled Mobility as New Zealand Tightens General Immigration Rules; MEA Stresses 'Mobility Not Migration' Framing in India-NZ FTA Engagement,https://www.business-standard.com/economy/news/india-focuses-on-skilled-mobility-as-nz-tightens-immigration-rules-mea-126070400058_1.html,India Specific|Destination Countries,"India focuses on skilled mobility as New Zealand tightens general immigration rules, with MEA stressing 'mobility not migration'.",neutral,TRUE,Business Standard,Bilateral Deals and Trade,New Zealand
2026-07-11,US Companies to Lose Thousands of Migrant Workers as TPS Work Permits Expire for Seven Countries from 17–24 July 2026,https://www.newsweek.com/us-companies-to-lose-thousands-of-migrant-workers-within-weeks-12184479,Destination Countries,US companies stand to lose thousands of migrant workers as TPS work permits expire for seven countries.,negative,TRUE,Newsweek,Enforcement and Crisis,United States
2026-07-13,"India Has Signed 28 Migration-Mobility Partnerships; Trusted Pathways Contribute to Stronger Economies, Says Jaishankar",https://www.tribuneindia.com/news/world/india-has-signed-28-migration-mobility-partnerships-trusted-pathways-can-contribute-to-stronger-economies-jaishankar/,India Specific,"India has signed 28 migration-mobility partnerships, with trusted pathways contributing to stronger economies, says Jaishankar.",positive,TRUE,Tribune India,Bilateral Deals and Trade,India
2026-07-13,"UK Westminster Hall Debates 720,772-Signature Petition on Offshore Detention and Deportation of Illegal Migrants",https://committees.parliament.uk/committee/326/petitions-committee/news/214746/mps-will-debate-a-petition-relating-to-offshore-detention-and-deportation-of-illegal-migrants/,Destination Countries,"UK Westminster Hall debates a 720,772-signature petition on offshore detention and deportation of illegal migrants.",negative,TRUE,UK Parliament,Enforcement and Crisis,United Kingdom
2026-07-13,UK Immigration and Asylum Bill 2026: Second Reading in House of Commons,https://commonslibrary.parliament.uk/research-briefings/cbp-10940/,Destination Countries,The UK Immigration and Asylum Bill 2026 has its second reading in the House of Commons.,neutral,TRUE,House of Commons Library,Enforcement and Crisis,United Kingdom
2026-07-13,"South Africa Says 53,449 Migrants Returned or Deported in Five-Week Crackdown",https://www.bloomberg.com/news/articles/2026-07-12/south-africa-says-53-449-migrants-returned-or-deported-in-crackdown,Destination Countries,"South Africa says 53,449 migrants were returned or deported in a five-week crackdown.",negative,TRUE,Bloomberg,Enforcement and Crisis,South Africa
2026-07-13,South Africa Government Considers Scaling Back Illegal Migration Crackdown,https://www.businessday.co.za/news/2026-07-12-government-considers-scaling-back-illegal-migration-crackdown,Destination Countries,South Africa's government considers scaling back its illegal migration crackdown.,neutral,TRUE,Business Day (SA),Enforcement and Crisis,South Africa
2026-07-13,"US: TPS Employment Authorisation Again Extended Briefly for Seven Countries — Haiti Through 24 July, Others Through 17 July",https://www.fragomen.com/insights/united-states-tps-employment-authorization-again-extended-briefly-for-several-countries.html,Destination Countries,US TPS employment authorisation is again briefly extended for seven countries.,neutral,TRUE,Fragomen,Enforcement and Crisis,United States
2026-07-13,Australia and Fiji Sign Vuvale Union; New Workforce Mobility Pathways and Vuvale Skills Hub Established,https://thediplomat.com/2026/07/from-partnership-to-union-australia-and-fiji-sign-2-new-security-agreements/,Destination Countries,"Australia and Fiji sign the Vuvale Union, establishing new workforce mobility pathways and a Vuvale Skills Hub.",positive,TRUE,The Diplomat,Bilateral Deals and Trade,Australia|Fiji
2026-07-14,New Ten-Year ILR Rule Resets Clocks For Skilled Workers,https://dazzlingdawn.com/2026/07/13/new-ten-year-ilr-rule-resets-clocks-for-skilled-workers,India Specific|Destination Countries,A new ten-year ILR rule resets clocks for skilled workers in the UK.,negative,TRUE,Dazzling Dawn,Visas and Work Permits,United Kingdom
2026-07-14,OFW Repatriation Efforts Continue Amid Middle East Tensions — DMW,https://globalnation.inquirer.net/330742/ofw-repatriation-efforts-continue-amid-middle-east-tensions-dmw,Destination Countries|Competitor Countries,"OFW repatriation efforts continue amid Middle East tensions, per DMW.",neutral,TRUE,Philippine Daily Inquirer,Enforcement and Crisis,Philippines|Gulf Region
2026-07-15,ICE Shootings in Maine and Houston Spark Outcry; Agency Suspends Vehicle Stops,https://www.cnn.com/2026/07/14/us/live-news/ice-shootings-maine-houston,Destination Countries,"ICE shootings in Maine and Houston spark outcry, prompting the agency to suspend vehicle stops.",negative,TRUE,CNN,Enforcement and Crisis,United States
